2025-05-31 01:20:13 | ERROR    | aih.utils.database:get_connection:116 - Database error: no such table: artifacts
2025-06-01 19:16:41 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: ## AI-Driven C...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:16:49 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:16:58 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:17:08 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:17:16 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:17:25 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:17:37 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:17:45 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:17:54 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:18:06 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:18:14 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:18:22 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:18:29 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: ## Current Tre...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:18:36 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Here is a comp...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:18:49 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:18:58 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:19:06 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:19:14 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:19:21 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:19:29 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:19:37 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: Here is a comp...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:19:45 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:19:52 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:20:04 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:20:14 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:20:23 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:20:31 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:20:39 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for Perplexity Analysis: vulnerability assessment inci...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:20:46 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: The integratio...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:20:54 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:21:01 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:21:09 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for Age of the Agent Orchestrator...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:21:24 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for Reflexive AI usage is now a baseline expectation a...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:21:32 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for LEAKED internal memo from CEO of Shopify Tobi Lutk...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:21:42 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI’s Impact...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:21:51 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Human Judgm...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:21:57 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Human Judgm...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:22:07 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: The impact of ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:22:14 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI and Huma...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:22:20 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: The evolving l...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:22:28 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI and the ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:22:35 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI and the ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:22:43 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:22:51 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI-Driven C...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:23:02 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:23:12 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Current Tre...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:23:21 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Current Tre...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:23:31 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Current Tre...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:23:44 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:23:51 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI's Impact...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:24:01 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI's Impact...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:24:06 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: # AI's Impact ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:24:15 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI and Huma...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:24:18 | ERROR    | __main__:extract_wisdom_for_article:112 - ❌ Wisdom extraction failed for AI Cybersecurity Impact Analysis 2: ## Strategic P...: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-06-01 19:24:21 | ERROR    | __main__:extract_wisdom_for_article:112 - ❌ Wisdom extraction failed for AI Cybersecurity Impact Analysis 3: ## Strategic P...: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-06-01 19:24:23 | ERROR    | __main__:extract_wisdom_for_article:112 - ❌ Wisdom extraction failed for AI Cybersecurity Impact Analysis 3: ## Human Judgm...: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-06-01 19:24:26 | ERROR    | __main__:extract_wisdom_for_article:112 - ❌ Wisdom extraction failed for AI Cybersecurity Impact Analysis 3: ## AI’s Impact...: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-06-01 19:24:29 | ERROR    | __main__:extract_wisdom_for_article:112 - ❌ Wisdom extraction failed for AI Cybersecurity Impact Analysis 3: The impact of ...: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-06-01 19:24:32 | ERROR    | __main__:extract_wisdom_for_article:112 - ❌ Wisdom extraction failed for AI Cybersecurity Impact Analysis 1: ## Strategic P...: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-06-01 19:24:38 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:24:45 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: The strategic ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:24:52 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: The strategic ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:00 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: The strategic ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:08 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI-Driven C...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:14 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:23 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:34 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:42 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:50 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Current Tre...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:25:56 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:26:05 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:26:14 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI’s Impact...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:26:21 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:26:29 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:26:37 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:26:46 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for ## AI vs...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:26:54 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for ## AI vs...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:27:02 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for ## AI vs...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:27:11 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:27:18 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:27:32 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:27:46 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:27:54 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: As we navigate...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:28:02 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: As we navigate...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:28:14 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: As we navigate...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:28:22 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI and Huma...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:28:31 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI and Huma...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:28:40 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:28:52 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:28:58 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:29:08 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI and Cybe...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:29:24 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:29:38 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:29:49 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI's Impact...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:30:00 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:30:10 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:30:19 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:30:30 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Security...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:30:39 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: The impact of ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:30:48 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: The impact of ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:31:01 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:31:10 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:31:20 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:31:30 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:31:38 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI Automati...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:33:52 | ERROR    | __main__:extract_wisdom_for_article:152 - ❌ Failed to process wisdom response for AI Cybersecurity Impact Analysis 4: ## AI in Cyber...: 'CostTracker' object has no attribute 'add_api_cost'
2025-06-01 19:34:03 | ERROR    | __main__:extract_wisdom_for_article:152 - ❌ Failed to process wisdom response for AI Cybersecurity Impact Analysis 4: ## Strategic P...: 'CostTracker' object has no attribute 'add_api_cost'
2025-06-01 19:34:13 | ERROR    | __main__:extract_wisdom_for_article:104 - ❌ JSON parse failed for AI Cybersecurity Impact Analysis 4: ## Strategic P...
2025-06-01 19:34:13 | ERROR    | __main__:extract_wisdom_for_article:105 - Raw response: {
    "key_wisdom": [
        "AI adoption in cybersecurity is increasing, with 55% of organizations planning to implement AI tools in 2024, highlighting the need for professionals to understand AI"s ...
